,key,CoCd,Account,Reference,Assignment,Bill.Doc.,Type,DocumentNo,Doc. Date,S,Posted on,PayT,Pmnt date,DD,G/L,Amt in loc.cur.,LCurr,Amount in DC,Curr.,Text,Clearing date,Clearing Document,Baseline Date,"POD date
",修正后的到期日,考核期末日期,Aging Days,Area
0,HH3117005108争议费用调整,HH31,17005108,争议费用调整,华北大润发预扣费用调整,,DA,10000121,2024-03-28,X,2024-03-28,,2024-03-28,,104300003,1679000.0,RMB,1679000.0,RMB,华北大润发预扣费用调整,,,2024-03-28,,2024-03-28,2024-04-30,33,MT3
1,HH3117005157调整争议费用,HH31,17005157,调整争议费用,华中大润发争议费用调整,,DA,10000180,2024-04-26,X,2024-04-26,,2024-04-26,,104300003,149120.0,RMB,149120.0,RMB,华中大润发争议费用调整,,,2024-04-26,,2024-04-26,2024-04-30,4,MT3
2,HH311700659004/30/2024,HH31,17006590,04/30/2024,3800324344,3900320393.0,DA,10000199,2024-04-30,,2024-04-30,CBD0,2024-04-29,,102100000,-143266.82,RMB,-143266.82,RMB,多付款,,,2024-04-29,2024-04-29,2024-04-29,2024-04-30,1,MT6
3,HH41170068758157045,HH41,17006875,8157045,4800658238,4900837591.0,DA,10015017,2023-12-14,,2023-12-14,G060,2023-06-22,,102100000,369532.82,RMB,369532.82,RMB,Keep payment difference in sub-ledger,,,2023-04-23,2023-02-11,2023-04-12,2024-04-30,384,MT1
4,HH411700807801/17/2024,HH41,17008078,01/17/2024,4800686487,4900857474.0,DA,10001130,2024-01-17,,2024-01-17,S060,2023-12-24,,102100000,254.37,RMB,254.37,RMB,Keep payment difference in sub-ledger-88985092,,,2023-10-25,2023-08-14,2023-10-30,2024-04-30,183,MT1
5,HH3117008836对冲账户,HH31,17008836,对冲账户,3800321379,3900318192.0,DA,10000133,2024-03-29,,2024-03-29,S060,2024-03-25,,102100000,10291.82,RMB,10291.82,RMB,3.29清理乐购红票,,,2024-01-25,2023-10-04,2023-12-30,2024-04-30,122,MT1
6,HH4117009011306842257,HH41,17009011,306842257,4800691124,4900862090.0,DA,10005492,2024-04-08,,2024-04-08,G060,2024-01-29,,102100000,812140.49,RMB,812140.49,RMB,Keep payment difference in sub-ledger,,,2023-11-30,2023-09-06,2023-11-05,2024-04-30,177,MT1
7,HH411700906431182272,HH41,17009064,31182272,31182272,,DA,10002104,2024-01-31,X,2024-01-31,,2024-01-31,,104300003,44500.0,RMB,44500.0,RMB,华东华润争议调整（1月）,,,2024-01-31,,2024-01-31,2024-04-30,90,MT1
8,HH411700906431182273,HH41,17009064,31182273,31182273,,DA,10002105,2024-01-31,X,2024-01-31,,2024-01-31,,104300003,11312.29,RMB,11312.29,RMB,华东华润争议调整（1月）,,,2024-01-31,,2024-01-31,2024-04-30,90,MT1
9,HH411700906431182271,HH41,17009064,31182271,31182271,,DA,10002103,2024-01-31,X,2024-01-31,,2024-01-31,,104300003,44500.0,RMB,44500.0,RMB,华东华润争议调整（1月）,,,2024-01-31,,2024-01-31,2024-04-30,90,MT1
